,0
147,steph curry flat choked harden everyone would say it dude missed wide open shot game 6 curry birthday caked it
148,dpoy
149,they gone dis nigga covering lucha libre match
150,lol
151,stephen curry nnwhat following year 202023 consistent true 3 year
152,portland also lowno tax iirc worse position nba making million pac northwest also lot venture capitalist area country well court opportunity money well
153,never
154,hahaha amazing max
155,case also
156,ad leaf lakers done even w lebron peds lakers
157,chewed jordan
158,what every nba player ultimate goal getting nba win nba championship mean mvp
159,do forget serge iblaka
160,sure like role phil wanting jordan get team involved doug let jordan wanted great chemistry two jordan grew appreciate phil jackson scotti pipen may something due ability mesh jordan well one smoother thing player would get upset jordan
161,47 game compared 100game full season sample nnwith kd dub 2924
162,rank shaq olajuwon duncan ahead him he horrible leader qualifies greatness as stuck number 10 get 5 ring might put 8th
163,why keep stopping damn video
164,you know what anthony davis sold short big timei feeling he going live regret decision
165,rookie year
166,around 1550 yeah
167,alone would allow question one ability term good are female speaker clue
168,charles barkley got greatest team everbut worked hard get contract year
169,i remember knoblauch quite clearly well definitely yip nnif ever seen movie major league 2
170,this good video good analysis thanks mate
171,one unanimous think fair expect steph
172,new website
173,lmao
174,whether per month per video
175,point time
176,in 20172018 lebron deserved mvp
177,your funny but
178,not gon na take klay thompson 24 month especially shoot play defense
179,fultz people term sad eye issue laughing matter
180,where hell two sack sucker come james good player great never been
181,tmac penny hardaway 20 imo
182,glad ok brother
183,give mac ruthless court kd really killer instinct shot fall
184,great mention judah
185,518xa0 knight problem barkley barkley talked back him
186,there many example show mj greater lebron medium dont bring dynamic point
187,ai jason richardson craziest athleticism ive ever seen
188,that orlando magic tmacsmh sheesh perfect offensive weapon
189,curry missed significant time dub never 60 game durant missed time 2017 warrior 67 game nthe greatest judgement skillset translates making look good make teammate better
190,perimeter game developed game like 198990 became great mid long range pippen perimeter game either like 1991 nnconcerning isiah thomas v jordan great rivalry wish jealousy yet great rivalry piston made right move personnelwise 1991 thomas stayed wrist injury lot change could made prolong great match ups 90 nndoug collins could hold yet always made team better repair crappy team collins good taking stupid young team making contender
191,celine dion sings profound song max
192,showed smart drafting center problem
193,keep mind jordan year mvp
194,please configure account correctly based fact 40 exclusive video platform 4 instructional video patreon page understand bill yourselfnnhttpswwwgofundmecomfchroniclesofjudah144nnvenmo chroniclesofjudah144 nnnew email listnnchroniclesofjudah144emaillistgmailcomnnjoin email list update channel
195,mutombo old final point recall still remember blocking hell kobe lmao
196,there youtube video motorcycle accident nba youtuber
197,mulefaced brother stick gather
